,windgusts_10m,time
0,5.7,2022-05-01T00:00
1,5.7,2022-05-01T01:00
2,6.1,2022-05-01T02:00
3,4.6,2022-05-01T03:00
4,2.5,2022-05-01T04:00
5,2.6,2022-05-01T05:00
6,2.6,2022-05-01T06:00
7,2.1,2022-05-01T07:00
8,1.9,2022-05-01T08:00
9,2.9,2022-05-01T09:00
10,4.4,2022-05-01T10:00
11,6.0,2022-05-01T11:00
12,6.4,2022-05-01T12:00
13,6.2,2022-05-01T13:00
14,6.5,2022-05-01T14:00
15,6.7,2022-05-01T15:00
16,4.7,2022-05-01T16:00
17,5.5,2022-05-01T17:00
18,6.9,2022-05-01T18:00
19,6.9,2022-05-01T19:00
20,6.7,2022-05-01T20:00
21,6.8,2022-05-01T21:00
22,5.2,2022-05-01T22:00
23,4.7,2022-05-01T23:00
24,4.6,2022-05-02T00:00
25,3.7,2022-05-02T01:00
26,3.6,2022-05-02T02:00
27,3.1,2022-05-02T03:00
28,2.9,2022-05-02T04:00
29,2.3,2022-05-02T05:00
30,4.1,2022-05-02T06:00
31,4.1,2022-05-02T07:00
32,4.5,2022-05-02T08:00
33,5.1,2022-05-02T09:00
34,6.0,2022-05-02T10:00
35,5.3,2022-05-02T11:00
36,5.5,2022-05-02T12:00
37,5.7,2022-05-02T13:00
38,6.4,2022-05-02T14:00
39,7.1,2022-05-02T15:00
40,6.6,2022-05-02T16:00
41,5.3,2022-05-02T17:00
42,6.4,2022-05-02T18:00
43,7.1,2022-05-02T19:00
44,7.2,2022-05-02T20:00
45,7.1,2022-05-02T21:00
46,7.3,2022-05-02T22:00
47,7.4,2022-05-02T23:00
48,6.2,2022-05-03T00:00
49,4.6,2022-05-03T01:00
50,4.9,2022-05-03T02:00
51,4.9,2022-05-03T03:00
52,4.9,2022-05-03T04:00
53,5.1,2022-05-03T05:00
54,5.4,2022-05-03T06:00
55,5.4,2022-05-03T07:00
56,5.5,2022-05-03T08:00
57,5.6,2022-05-03T09:00
58,7.6,2022-05-03T10:00
59,7.9,2022-05-03T11:00
60,7.2,2022-05-03T12:00
61,6.0,2022-05-03T13:00
62,5.0,2022-05-03T14:00
63,7.2,2022-05-03T15:00
64,7.1,2022-05-03T16:00
65,7.9,2022-05-03T17:00
66,8.1,2022-05-03T18:00
67,7.8,2022-05-03T19:00
68,7.2,2022-05-03T20:00
69,6.3,2022-05-03T21:00
70,5.6,2022-05-03T22:00
71,4.9,2022-05-03T23:00
72,4.5,2022-05-04T00:00
73,4.6,2022-05-04T01:00
74,3.6,2022-05-04T02:00
75,4.1,2022-05-04T03:00
76,4.6,2022-05-04T04:00
77,4.3,2022-05-04T05:00
78,6.0,2022-05-04T06:00
79,7.6,2022-05-04T07:00
